11/11/2018,Manchester City,Manchester United,home,1.4,5.25,8.5
24/11/2018,Brighton and Hove Albion,Leicester City,draw,2.9,3.4,2.6
24/11/2018,Everton,Cardiff City,home,1.4,5,9
24/11/2018,Fulham,Southampton,home,2.62,3.5,2.8
24/11/2018,Manchester United,Crystal Palace,draw,1.4,5.25,8
24/11/2018,Tottenham Hotspur,Chelsea,home,2.8,3.5,2.6
24/11/2018,Watford,Liverpool,away,6.5,4.33,1.55
24/11/2018,West Ham United,Manchester City,away,13,6.5,1.25
25/11/2018,Bournemouth,Arsenal,away,3.5,3.75,1.95
25/11/2018,Wolverhampton Wanderers,Huddersfield Town,away,1.5,4.33,8
26/11/2018,Burnley,Newcastle United,away,2.9,3.2,2.75
30/11/2018,Cardiff City,Wolverhampton Wanderers,home,3.8,3.25,2.2
01/12/2018,Crystal Palace,Burnley,home,1.61,3.9,6.5
01/12/2018,Huddersfield Town,Brighton and Hove Albion,away,2.5,3,3.4
01/12/2018,Leicester City,Watford,home,2.25,3.3,3.6
01/12/2018,Manchester City,Bournemouth,home,1.11,11,26
01/12/2018,Newcastle United,West Ham United,away,2.5,3.3,3.1
01/12/2018,Southampton,Manchester United,draw,4.33,3.6,1.95
02/12/2018,Arsenal,Tottenham Hotspur,home,2.62,3.6,2.75
02/12/2018,Chelsea,Fulham,home,1.18,8,17
02/12/2018,Liverpool,Everton,home,1.4,5,9
04/12/2018,Bournemouth,Huddersfield Town,home,1.66,3.8,6
04/12/2018,Brighton and Hove Albion,Crystal Palace,home,3,3.1,2.7
04/12/2018,Watford,Manchester City,away,11,6,1.3
04/12/2018,West Ham United,Cardiff City,home,1.66,4,5.75
05/12/2018,Burnley,Liverpool,away,14,5.75,1.28
05/12/2018,Everton,Newcastle United,draw,1.6,4,6.5
05/12/2018,Fulham,Leicester City,draw,3,3.5,2.45
05/12/2018,Manchester United,Arsenal,draw,2.45,3.5,3
05/12/2018,Tottenham Hotspur,Southampton,home,1.36,5.25,9.5
05/12/2018,Wolverhampton Wanderers,Chelsea,home,5,3.75,1.8
08/12/2018,Arsenal,Huddersfield Town,home,1.28,6,12
08/12/2018,Bournemouth,Liverpool,away,5.75,4.5,1.6
08/12/2018,Burnley,Brighton and Hove Albion,home,2.9,3.2,2.75
08/12/2018,Cardiff City,Southampton,home,2.9,3.25,2.7
08/12/2018,Chelsea,Manchester City,home,4,3.8,1.95
08/12/2018,Leicester City,Tottenham Hotspur,away,3.8,3.75,2
08/12/2018,Manchester United,Fulham,home,1.33,5.75,10
08/12/2018,West Ham United,Crystal Palace,home,2.3,3.4,3.4
09/12/2018,Newcastle United,Wolverhampton Wanderers,away,2.9,3.2,2.7
10/12/2018,Everton,Watford,draw,1.8,3.75,5
15/12/2018,Crystal Palace,Leicester City,home,2.62,3.2,3
15/12/2018,Fulham,West Ham United,away,2.9,3.6,2.5
15/12/2018,Huddersfield Town,Newcastle United,away,2.6,3.1,3.1
15/12/2018,Manchester City,Everton,home,1.22,7.5,13
15/12/2018,Tottenham Hotspur,Burnley,home,1.18,8,19
15/12/2018,Watford,Cardiff City,home,1.64,3.9,6
15/12/2018,Wolverhampton Wanderers,Bournemouth,home,1.95,3.6,4.33
16/12/2018,Brighton and Hove Albion,Chelsea,away,7.5,4.5,1.5
16/12/2018,Liverpool,Manchester United,home,1.57,4.5,6
16/12/2018,Southampton,Arsenal,home,4.1,3.9,1.9
21/12/2018,Wolverhampton Wanderers,Liverpool,away,7,4,1.57
22/12/2018,Arsenal,Burnley,home,1.25,6.5,15
22/12/2018,Bournemouth,Brighton and Hove Albion,home,1.9,3.7,4.33
22/12/2018,Cardiff City,Manchester United,away,6.5,4.2,1.57
22/12/2018,Chelsea,Leicester City,away,1.33,5.5,11
22/12/2018,Huddersfield Town,Southampton,away,3.1,3.1,2.6
22/12/2018,Manchester City,Crystal Palace,away,1.14,10,21
22/12/2018,Newcastle United,Fulham,draw,2,3.6,4
22/12/2018,West Ham United,Watford,away,2.37,3.5,3.1
23/12/2018,Everton,Tottenham Hotspur,away,3.25,3.5,2.3
26/12/2018,Brighton and Hove Albion,Arsenal,draw,5.25,3.9,1.72
26/12/2018,Burnley,Everton,away,4.33,3.5,1.95
26/12/2018,Crystal Palace,Cardiff City,draw,1.66,4,5.75
26/12/2018,Fulham,Wolverhampton Wanderers,draw,3.25,3.4,2.37
26/12/2018,Leicester City,Manchester City,home,9.5,5.25,1.36
26/12/2018,Liverpool,Newcastle United,home,1.16,8.5,19
26/12/2018,Manchester United,Huddersfield Town,home,1.25,6.5,15
26/12/2018,Tottenham Hotspur,Bournemouth,home,1.36,5.5,9
26/12/2018,Watford,Chelsea,away,5.25,3.8,1.75
27/12/2018,Southampton,West Ham United,away,2.3,3.5,3.3
29/12/2018,Brighton and Hove Albion,Everton,home,3.25,3.4,2.14
29/12/2018,Fulham,Huddersfield Town,home,2,3.4,3.75
29/12/2018,Leicester City,Cardiff City,away,1.55,4,6
29/12/2018,Liverpool,Arsenal,home,1.5,4.5,5.75
29/12/2018,Tottenham Hotspur,Wolverhampton Wanderers,away,1.33,5,8.5
29/12/2018,Watford,Newcastle United,draw,1.85,3.6,4
30/12/2018,Burnley,West Ham United,home,3.3,3.2,2.25
30/12/2018,Crystal Palace,Chelsea,away,4.75,4,1.66
30/12/2018,Manchester United,Bournemouth,home,1.33,4.75,10
30/12/2018,Southampton,Manchester City,away,10,5.25,1.3
01/01/2019,Arsenal,Fulham,home,1.33,5.75,9.5
01/01/2019,Cardiff City,Tottenham Hotspur,away,7.5,4.5,1.5
01/01/2019,Everton,Leicester City,away,2,3.5,4.2
02/01/2019,Bournemouth,Watford,draw,2.6,3.6,2.75
02/01/2019,Chelsea,Southampton,draw,1.28,6.5,11
02/01/2019,Huddersfield Town,Burnley,away,2.14,3.1,4.2
02/01/2019,Newcastle United,Manchester United,away,6,4.2,1.61
02/01/2019,West Ham United,Brighton and Hove Albion,draw,1.95,3.75,4
02/01/2019,Wolverhampton Wanderers,Crystal Palace,away,2,3.4,4.33
03/01/2019,Manchester City,Liverpool,home,2.04,3.8,3.6
